output_text,input_text,understandability,type_of_claim,type_of_medical_claim,support,harm
"Opioid addicts need to find a fix, often turning to illicit drugs like heroin or fentanyl. This has led to a surge in the production, purchase, and consumption of these drugs, as well as an increase in overdose deaths.",opioid addicts need to get a fix one way or another and illicit substances like heroin or fentanyl are the typical go-to as a result production purchase and consumption of these drugs skyrocketed and thanks to the ease of oding on them so too to deaths,understandable,statement of fact,cause/effect,uncontroversial statement,harmless
Imagine if your child had diabetes and needed multiple insulin injections daily.,Consider if your child had just been diagnosed with diabetes and required multiple injections of insulin per day.,understandable,not a claim,cause/effect,uncontroversial statement,harmless
These lifestyle changes can improve overall health and potentially treat depression.,These changes can cure many other diseases and depression.,understandable,hedged claim,treatment/cure,can't tell,can't tell
The speaker claims that they will make a difference.,I'm going to make a difference.,vague,statement of fact,not medical,can't tell,can't tell
Impaired bile flow can lead to both toxins and fats being excreted through the skin.,"So when bile isn't flowing correctly, not only can toxins get pushed out through the skin, but fats can also get pushed out through the skin.",understandable,hedged claim,cause/effect,novel claim,some harm
The two strains responded differently to fluvoxamine.,"So, again, are a little different.",understandable,statement of fact,treatment/cure,can't tell,can't tell
There must be a better way to treat enlarged prostate.,There has got to be a better way.,understandable,opinion,treatment/cure,can't tell,can't tell
"By day three, the temptation to touch the zit intensifies. However, it's essential to resist. The zit is hardening beneath the surface, and popping it would create a large hole, bleeding, and delayed healing.","By day three, the urge to touch the zit becomes even stronger, but it's important to resist. Everything under the surface is hardening and forming. Popping it now would leave a large hole, cause bleeding, and prolong the healing process.",understandable,statement of fact,treatment/cure,uncontroversial statement,low harm
"The highest risk of ischemia (reduced blood flow) occurs in the early luteal phase, just after the menstrual period.",In the early luteal phase just after the menstrual period is the time when the maximum incidence of ischemia can occur.,understandable,statement of fact,cause/effect,can't tell,can't tell
Ask your doctor about the signs and symptoms of Zika and when you should seek care.,ask your doctor about the signs and symptoms and find out when to get care,understandable,not a claim,treatment/cure,can't tell,can't tell
There is a safe and effective HPV vaccine available for both men and women between the ages of 9 and 45.,there's a fantastic safe vaccine that's approved down to the age of nine and up to the age of forty five for men and for women,understandable,statement of fact,prevention,uncontroversial statement,harmless
"As healthcare providers, family members, and community members, we can make sure everyone knows this.",So one of the things as providers as family members as community members that we can do is to make sure that everybody knows that.,understandable,opinion,not medical,can't tell,can't tell
"The Maudsley approach originated at a hospital in London, where it was observed that children with eating disorders responded better to treatment when their parents and families were actively involved.",Maudsley is actually a very old hospital in London where they figured out that kids tended to do better if their parents and their families are really involved in their treatment,understandable,citation,treatment/cure,can't tell,can't tell
There was a significant difference in anxiety levels between the HA1 and HA3 strains in the elevated plus maze test.,"So in the elevated plus maze, but this is really interesting that the base line difference is very dramatic between the replicate compulsive-like strains.",not understandable,statement of fact,symptom,can't tell,can't tell
"Menopause is the opposite of puberty, as it marks the end of a woman's reproductive years.",Menopause is the opposite of puberty.,understandable,statement of fact,outcome,uncontroversial statement,harmless
Controlling the hormone insulin is crucial for successful weight loss and maintenance.,The key to losing weight and keeping it off is all in the hormone insulin.,understandable,statement of fact,treatment/cure,can't tell,can't tell
"The most common symptoms of Zika are fever, rash, joint pain, and conjunctivitis (red eyes).",the most common symptoms of Zika are fever rash joint pain and conjunctivitis or red eyes,understandable,statement of fact,symptom,can't tell,can't tell
