output_text,input_text,understandability,type_of_claim,type_of_medical_claim,support,harm,summary
There are many things vying for our attention and preventing us from focusing on what is important.,A lot of distractions are happening.,not understandable,not a claim,not medical,can't tell,harmless,not worth checking
The Academy Awards are important because anyone can Google a plant on the parking lot and go public with it.,Academy. End for the Richardson really to matter why is that if anyone can Google a plant on the parking lot I go public showdown with him really from that it will be.,not understandable,opinion,not medical,can't tell,harmless,not worth checking
"I know this is hard, but we have to stick to the rules.","I know this is hard, but we have to stick to the rules.",not understandable,not a claim,not medical,can't tell,can't tell,not worth checking
"And finally, what can be done about it?","And finally, what to do about it?",not understandable,not a claim,not medical,can't tell,can't tell,not worth checking
Three apps can help people save money at the grocery store with minimal effort.,"So today I want to talk to you about three of those apps that are doing exactly that, they're helping you boost your savings with very little time.",vague,promotion,not medical,can't tell,harmless,not worth checking
The presenter believes the higher price of Supergoop sunscreen is justified.,It is worth the extra money to me.,understandable,promotion,not medical,can't tell,harmless,not worth checking
"Harsh scrubs or washcloths are discouraged, and the Versed Day Dissolve cleansing balm is recommended as an alternative.",or face scrub or rough abrasive washcloth So I am using the Versed Day Dissolve cleansing balm right now.,vague,promotion,treatment/cure,can't tell,harmless,not worth checking
We are constantly learning and discovering who we are.,"we're gonna learn, right? We don't just know who we are.",vague,opinion,not medical,can't tell,harmless,not worth checking
"Doctors need to remain professional and avoid getting angry with patients, even when they are being difficult. This can be challenging and may lead to burnout.",you can't get angry as a doctor you've got to stay professional move on to the next patient and if you aren't careful that can kind of break you,vague,advice/recommendation,not medical,uncontroversial statement,harmless,not worth checking
Imagine if your child had diabetes and needed multiple insulin injections daily.,Consider if your child had just been diagnosed with diabetes and required multiple injections of insulin per day.,understandable,not a claim,cause/effect,uncontroversial statement,harmless,not worth checking
There was a significant difference in anxiety levels between the HA1 and HA3 strains in the elevated plus maze test.,"So in the elevated plus maze, but this is really interesting that the base line difference is very dramatic between the replicate compulsive-like strains.",not understandable,statement of fact,symptom,can't tell,harmless,not worth checking
"We need more evidence to determine the cause of the lung illness, and the recommendations may change.","And until we can give guidance, As I told you in the past, And evidence sometimes changes. That may change.",not understandable,statement of fact,cause/effect,can't tell,harmless,not worth checking
"So, what is the truth?",So what's real?,vague,not a claim,not medical,can't tell,can't tell,not worth checking
Everyone deserves love and acceptance.,Everybody is worthy of love.,understandable,opinion,not medical,uncontroversial statement,harmless,not worth checking
The speaker claims to be addicted to fentanyl.,I'm addicted to fentanyl.,vague,personal,symptom,uncontroversial statement,harmless,not worth checking
Eating healthy doesn't mean you have to give up the foods you enjoy.,and like we're not missing out.,vague,opinion,prevention,uncontroversial statement,harmless,not worth checking
The situation with RSV is different.,"Now, RSV is a different story.",not understandable,statement of fact,not medical,can't tell,can't tell,not worth checking
The “just say no” mentality is prevalent.,Just say no. Just say no. Just say no.,not understandable,statement of fact,not medical,can't tell,can't tell,not worth checking
"Since 1997, Congresswoman Carolyn Maloney has advocated for increased transparency regarding the presence of dioxin in tampons.",Congresswoman Carolyn Maloney has been vocal about the issue of dioxin in tampons since 1997.,understandable,personal,not medical,can't tell,harmless,not worth checking
Abraham Shakespeare was shot twice with a gun.,Abraham Shakespeare was shot twice by a nine millimeter or 38 caliber gun.,understandable,personal,not medical,can't tell,harmless,not worth checking
"The decision to treat prostate cancer is based on a patient's preference, overall health status, and disease characteristics.",there thankfully many treatment options available such as active surveillance surgery radiation and hormone deprivation and our decision to treat is really based on a patient's preference overall health status as well as your disease characteristics such as the aggressiveness and its location whether the cancer is confined to the gland or outside and taking all these factors together we're able to help patients navigate better and choose the best treatment options for themselves and their cancer ,vague,hedged claim,treatment/cure,uncontroversial statement,harmless,not worth checking
The aggressiveness and location of the cancer are important factors in determining the best treatment option.,there thankfully many treatment options available such as active surveillance surgery radiation and hormone deprivation and our decision to treat is really based on a patient's preference overall health status as well as your disease characteristics such as the aggressiveness and its location whether the cancer is confined to the gland or outside and taking all these factors together we're able to help patients navigate better and choose the best treatment options for themselves and their cancer ,vague,hedged claim,treatment/cure,uncontroversial statement,harmless,not worth checking
Ask your doctor about the signs and symptoms of Zika and when you should seek care.,ask your doctor about the signs and symptoms and find out when to get care,understandable,not a claim,treatment/cure,can't tell,harmless,not worth checking
Are you sick?,"What are you, sick?",understandable,not a claim,symptom,can't tell,harmless,not worth checking
"For those who prefer a dropper bottle format, Vichy Liftactiv Vitamin C Serum is recommended.","Now, if you prefer a dropper bottle format to your vitamin C serum, this is Vichy Liftactiv Vitamin C Serum.",understandable,promotion,treatment/cure,can't tell,harmless,not worth checking
"Calming Thrive has rapid absorption into the body, providing a quick calming effect.","Hello, hello, hello, everyone.  Happy Friday. Um I am coming  off the back of the live  masterclass that we had earlier  in the week and it was epic. It  was like literally so amazing.  All of the attendees were so  engaged and the energy on on  the masterclass was was amazing  and so I thank you for all of  you who attended live. Uh I had  a complete tech technology blip  up and I didn't end up  recording it and I'm so  disappointed because it was  amazing. And so guys just so  you know if you weren't able to  attend live I am going to be  holding an encore. I'm just  trying to work out when I can  fit it on my calendar. And so  don't worry if you weren't able  to join us live for that one.  Ah definitely we're going to  you know keep an eye out and  make sure you come live to the  next one. Now not here to talk  about that today but I'm  wondering if you guys have ever  wondered about the effective of  lithiumine or gaba for ADHD. So  if you have drop me a yes in  the comments below. Um because  that's what I'm going to be  talking about today. Now  earlier this week someone asked  me specifically about these and  I know it's something that I've  been asked many times before.  So I really wanted to hop on  here and answer it publicly so  that anyone else who is  wondering can know as well. Now  before we jump in can you share  with me guys like a little bit  about you. I love finding out  where you're located. How many  children you have? Um maybe  your first name. Um obviously  I'll see your first name when  you when you drop that below.  But I'm I'm done okay. I live  in ah I was going to say sunny  Seattle. It is definitely not  sunny today. Um I live in  Seattle Washington. I'm a board  certified holistic health and  nutrition practitioner but also  I'm a mum of a son with ADHD so  I definitely know how hard it  can be to sift through all the  potential supplements and other  treatments options that are out  there. So have you guys ever  felt overwhelmed by the vast  array of ADHD treatment  options? Yep. Definitely I have  for sure back in the day. Um  and if you can relate  definitely give me a little  hands up in the comments below.  Um I felt like that years ago  when I first started my journey  with my son. Now like I said  I'm an ADHD health practitioner  and I specialise working with  families all across USA with  ADHD learn how to naturally  reduce ADHD symptoms. And my  goal is to make it easier on  you guys than it was on me.  Seriously. That's all I want to  do. Um I don't want anyone else  to feel as overwhelmed as I did  years ago. And that's why I'm  hopping on today to answer this  question about lithiumine and  gaba. So let's dive in. Now for  any of you who aren't familiar  with lithiumine it's an amino  acid that is found in green,  black and white tees. Uh plus  can be taken in supplement form  and it has relaxing properties  without making you feel drowsy.  Now it can help make you feel  calmer. It can improve  attention span and focus and it  can support restful sleep. It  can also help protect the heart  and brain. Plus help reduce  blood pressure and reduce  symptoms of schizophrenia. Now  the best way to obtain  lithiumine is to drink several  cups of quality green tea and  other teas every day. Now I  will say that it's really  important that you have  quality. Hi Michaela Montreal  Canada. Hi Heather. Thanks for  tuning in live. Um so when you  are buying green tea make sure  that you do have quality  organic green tea. Now lit  theanine is safe when taken in  supplement form but will reduce  effects of blood pressure  medications and stimulants. So  always be sure to talk with  your doctor before starting any  supplementation. Now GABA is  also a calming neurotransmitter  in the central nervous system  and it plays a role in the  body's ability to handle  stress. And it also affects  focus and concentration. Now  these two supplements by  themselves can be very helpful  for some people because I  especially love it when they're  combined because they they  provide that calming effect  without causing a person to  feel drowsy. And we know a lot  of our kiddos need that calming  effect of the time. Um so my  absolute favourite formation is  called Calming Thrive. And I'm  going to pop a link to that in  the comments. So be on the  lookout for that when the  live's over. Something I use  sometimes I use this particular  supplement as part of my  protocols. Uh especially when I  see when GABA's low or we have  a lot of you know sort of  overactive symptoms and we  really need to calm them down.  Um and I love it for a few  reasons. One it contains both  GABA and lithium Two it comes  in an easy to use liquid which  is perfect for our kiddos who  can't swallow pills. And three  is I also love it because since  it's taken by mouth and held in  the mouth for 30 seconds before  swallowing it has rapid  absorption into the body  providing that calm, that focus  and that concentration really  ",understandable,promotion,treatment/cure,can't tell,harmless,not worth checking
The video ends with cheerful music.,(cheerful music),understandable,opinion,not medical,can't tell,harmless,not worth checking
"As healthcare providers, family members, and community members, we can make sure everyone knows this.",So one of the things as providers as family members as community members that we can do is to make sure that everybody knows that.,understandable,opinion,not medical,can't tell,harmless,not worth checking
"Dr. Bliss did not believe in the usefulness of antiseptics, even though they were known at the time.","The idea of antiseptics was known, but Dr. Bliss did not believe in its usefulness.",vague,personal,treatment/cure,can't tell,harmless,not worth checking
The participant experienced general malaise.,I feel terrible,vague,personal,symptom,can't tell,harmless,not worth checking
The presenter expresses their preference for specific silicone patches.,I like these particular patches.,vague,not a claim,not medical,can't tell,indirect harm,not worth checking
"Once again, the extent to which NEAT decreases varies significantly depending on individual factors.","So how much NEAT reduced was, again, a big pile of &quot;it depends.&quot;",not understandable,hedged claim,outcome,can't tell,can't tell,not worth checking
"Elephants have the longest estrous cycle of any mammal, lasting 13 to 18 weeks. This means they only have 3-4 fertile cycles per year.",the elephant exhibits the longest spontaneous Ester cycle of any mammal studied to date 13 to 18 weeks in duration thus an elephant May Express only three to four fertile cycles per year,understandable,statement of fact,not medical,uncontroversial statement,harmless,not worth checking
"According to self-determination theory, individuals are more motivated when they experience autonomy, competence, and a sense of belonging.","Self-determination theory suggests that people are more motivated when they feel autonomous, competent, and connected to others.",understandable,statement of fact,not medical,uncontroversial statement,harmless,not worth checking
"Foods such as white bread, wheat bread, and pizza are high in sugar.",These foods are really high in sugar.,understandable,statement of fact,not medical,uncontroversial statement,harmless,not worth checking
Mentally rehearsing the steps of a task before starting can improve focus and completion.,"Before you start on a task, it's really important to mentally walk through it, this helps a lot of people, walk through, walking through all the steps that are required of this task.",understandable,statement of fact,not medical,uncontroversial statement,harmless,not worth checking
"Natural sugars and added sugars have similar chemical compositions, but natural sugars in fruits like apples are accompanied by vitamins, fiber, and other beneficial nutrients that promote slower and healthier digestion, leading to increased satiety compared to added sugars.",natural sugar and added sugar are more or less chemically the same thing but when you have natural sugar in things like apples it comes with vitamins and fiber and other good stuff that makes the body process it more slowly in a more healthy way and it's a she eights you and it fills you up more than added sugar,understandable,statement of fact,not medical,uncontroversial statement,harmless,not worth checking
Tufts University is removing the Sackler name from all programs and buildings on its campus.,The Sackler name is being removed from all programs and buildings on campus.,understandable,statement of fact,not medical,uncontroversial statement,harmless,not worth checking
Refined carbohydrates are often high in calories and low in nutrients.,refined carbs like white flour and added sugar they're often too void and void of calories they really don't really have any nutritional value to them,understandable,statement of fact,not medical,uncontroversial statement,harmless,not worth checking
Prince Harry and Meghan Markle discussed vaccines on the television show Pop Break.,Harry and Meghan talk vaccines on Pop Break,understandable,statement of fact,not medical,uncontroversial statement,harmless,not worth checking
GABA plays a role in the body's ability to handle stress and affects focus and concentration.,"Hello, hello, hello, everyone.  Happy Friday. Um I am coming  off the back of the live  masterclass that we had earlier  in the week and it was epic. It  was like literally so amazing.  All of the attendees were so  engaged and the energy on on  the masterclass was was amazing  and so I thank you for all of  you who attended live. Uh I had  a complete tech technology blip  up and I didn't end up  recording it and I'm so  disappointed because it was  amazing. And so guys just so  you know if you weren't able to  attend live I am going to be  holding an encore. I'm just  trying to work out when I can  fit it on my calendar. And so  don't worry if you weren't able  to join us live for that one.  Ah definitely we're going to  you know keep an eye out and  make sure you come live to the  next one. Now not here to talk  about that today but I'm  wondering if you guys have ever  wondered about the effective of  lithiumine or gaba for ADHD. So  if you have drop me a yes in  the comments below. Um because  that's what I'm going to be  talking about today. Now  earlier this week someone asked  me specifically about these and  I know it's something that I've  been asked many times before.  So I really wanted to hop on  here and answer it publicly so  that anyone else who is  wondering can know as well. Now  before we jump in can you share  with me guys like a little bit  about you. I love finding out  where you're located. How many  children you have? Um maybe  your first name. Um obviously  I'll see your first name when  you when you drop that below.  But I'm I'm done okay. I live  in ah I was going to say sunny  Seattle. It is definitely not  sunny today. Um I live in  Seattle Washington. I'm a board  certified holistic health and  nutrition practitioner but also  I'm a mum of a son with ADHD so  I definitely know how hard it  can be to sift through all the  potential supplements and other  treatments options that are out  there. So have you guys ever  felt overwhelmed by the vast  array of ADHD treatment  options? Yep. Definitely I have  for sure back in the day. Um  and if you can relate  definitely give me a little  hands up in the comments below.  Um I felt like that years ago  when I first started my journey  with my son. Now like I said  I'm an ADHD health practitioner  and I specialise working with  families all across USA with  ADHD learn how to naturally  reduce ADHD symptoms. And my  goal is to make it easier on  you guys than it was on me.  Seriously. That's all I want to  do. Um I don't want anyone else  to feel as overwhelmed as I did  years ago. And that's why I'm  hopping on today to answer this  question about lithiumine and  gaba. So let's dive in. Now for  any of you who aren't familiar  with lithiumine it's an amino  acid that is found in green,  black and white tees. Uh plus  can be taken in supplement form  and it has relaxing properties  without making you feel drowsy.  Now it can help make you feel  calmer. It can improve  attention span and focus and it  can support restful sleep. It  can also help protect the heart  and brain. Plus help reduce  blood pressure and reduce  symptoms of schizophrenia. Now  the best way to obtain  lithiumine is to drink several  cups of quality green tea and  other teas every day. Now I  will say that it's really  important that you have  quality. Hi Michaela Montreal  Canada. Hi Heather. Thanks for  tuning in live. Um so when you  are buying green tea make sure  that you do have quality  organic green tea. Now lit  theanine is safe when taken in  supplement form but will reduce  effects of blood pressure  medications and stimulants. So  always be sure to talk with  your doctor before starting any  supplementation. Now GABA is  also a calming neurotransmitter  in the central nervous system  and it plays a role in the  body's ability to handle  stress. And it also affects  focus and concentration. Now  these two supplements by  themselves can be very helpful  for some people because I  especially love it when they're  combined because they they  provide that calming effect  without causing a person to  feel drowsy. And we know a lot  of our kiddos need that calming  effect of the time. Um so my  absolute favourite formation is  called Calming Thrive. And I'm  going to pop a link to that in  the comments. So be on the  lookout for that when the  live's over. Something I use  sometimes I use this particular  supplement as part of my  protocols. Uh especially when I  see when GABA's low or we have  a lot of you know sort of  overactive symptoms and we  really need to calm them down.  Um and I love it for a few  reasons. One it contains both  GABA and lithium Two it comes  in an easy to use liquid which  is perfect for our kiddos who  can't swallow pills. And three  is I also love it because since  it's taken by mouth and held in  the mouth for 30 seconds before  swallowing it has rapid  absorption into the body  providing that calm, that focus  and that concentration really  ",vague,hedged claim,correlation,can't tell,harmless,not worth checking
I hope to laugh along the way for the rest of my life because life is so good.,I hope to laugh along the way of the rest of my life because life is so good.,understandable,not a claim,not medical,can't tell,can't tell,not worth checking
