claim,chunk,flag
"Exercise can significantly reduce ADHD symptoms such as impulsivity, hyperactivity, focus, and school performance.",hi welcome today's a quick video we're going to talk about are there any natural remedies that help alleviate the symptoms of ADHD add this is not a video that is going to sell you some sort of miracle cure or snake oil because that is not what I do I'm Dr Christine I'm a I'm a retired chiropractor and my specialty is Health wellness and mindset and particularly finding ways for people to have more success on the Spectrum and with ADD ADHD anything that I recommend to you is going to have science behind it and I'm not selling it I'm just giving you information now please before I go any further subscribe to the channel and hit the Bell so you'll get notified when new videos Drop and when I go live when you subscribe to a YouTube channel you're supporting my small business which consists of sharing information with you to have more success on the Spectrum I have ADD and I am on the autism spectrum and I like to find information that will help me and help you to live a happier healthier life all right so are there any natural remedies that will help lessen the symptoms of ADD there are a few that have scientific research behind them to back them up also I don't want anything in this video to be mistaken as medical advice I'm not a medical doctor and I'm not making any sort of prescriptions to you I am sharing study information with you in late terms so that you can understand it you can research it yourself you can talk to your own health care practitioner about it so the number one top performing natural remedy to help alleviate the symptoms of ADD is exercise researchers in 2013 studied a group of adolescents some were prescribed an exercise regiment others others did not they were on what they call the wait list for the exercise program and at the end of the study the group that participated in the exercise program showed a significant reduction in their ADHD symptoms for example less impulsivity less hyperactivity better focus and improve performance in school the second omega-3 fatty acids omega-3 fatty acids such as fish or krill oil and flaxseed oil has been studied by researchers because because they know the positive impact that these fatty acids have on on the brain and nervous system omega-3 fatty acids are essential nutrients that play a great role in the building developing and repair of the nervous system they have strong anti-inflammatory properties and tend to protect the cells of the nervous system in studies where they looked at the role of omega-3 fatty acids with ADHD they showed Improvement they found less hyperactivity and impulsivity in Focus and finally mindfulness in other words mindful meditation in 2012 there was an eight-week study where people were broken up into two groups again the ones that practiced mindful meditation and the ones that did not and after the eight weeks the groups that participated in the mindful meditation showed significant improvements executive functioning attention and behavior regulation really cool things wouldn't you agree all these things could improve the quality of your life or the quality of your child's life and finally sleep now people with ADD ADHD are somewhat prone to having sleep disturbances but I don't want to label anybody out there it does not have to be that way and at the same time Disturbed sleep tends to aggravate the symptoms of ADD ADHD not enough sleep or inadequate sleep increases the symptoms that we are trying to decrease so lack of sleep or poor sleep increases hyperactivity impulsiveness and lack of attention now improving one's sleep takes more than one short video but important very important if you're on the Spectrum or have ADD ADHD to treat your sleep as if it will make or break you because they can alright my friends those are some scientifically proven natural things that you can do to reduce the symptoms that you have from your EDD ADHD it's all science back I've left links in the video description if you want to read more about that and it's good healthy living anyway right so you will never be unhealthier for doing these simple things and and doing them daily making them habits all right my friends I'll see you next week thanks for being here before you go please hit that subscribe button we'll see you soon ,FALSE
"Omega-3 fatty acids, found in fish oil, krill oil, and flaxseed oil, have been shown to improve ADHD symptoms such as hyperactivity, impulsivity, and focus.",hi welcome today's a quick video we're going to talk about are there any natural remedies that help alleviate the symptoms of ADHD add this is not a video that is going to sell you some sort of miracle cure or snake oil because that is not what I do I'm Dr Christine I'm a I'm a retired chiropractor and my specialty is Health wellness and mindset and particularly finding ways for people to have more success on the Spectrum and with ADD ADHD anything that I recommend to you is going to have science behind it and I'm not selling it I'm just giving you information now please before I go any further subscribe to the channel and hit the Bell so you'll get notified when new videos Drop and when I go live when you subscribe to a YouTube channel you're supporting my small business which consists of sharing information with you to have more success on the Spectrum I have ADD and I am on the autism spectrum and I like to find information that will help me and help you to live a happier healthier life all right so are there any natural remedies that will help lessen the symptoms of ADD there are a few that have scientific research behind them to back them up also I don't want anything in this video to be mistaken as medical advice I'm not a medical doctor and I'm not making any sort of prescriptions to you I am sharing study information with you in late terms so that you can understand it you can research it yourself you can talk to your own health care practitioner about it so the number one top performing natural remedy to help alleviate the symptoms of ADD is exercise researchers in 2013 studied a group of adolescents some were prescribed an exercise regiment others others did not they were on what they call the wait list for the exercise program and at the end of the study the group that participated in the exercise program showed a significant reduction in their ADHD symptoms for example less impulsivity less hyperactivity better focus and improve performance in school the second omega-3 fatty acids omega-3 fatty acids such as fish or krill oil and flaxseed oil has been studied by researchers because because they know the positive impact that these fatty acids have on on the brain and nervous system omega-3 fatty acids are essential nutrients that play a great role in the building developing and repair of the nervous system they have strong anti-inflammatory properties and tend to protect the cells of the nervous system in studies where they looked at the role of omega-3 fatty acids with ADHD they showed Improvement they found less hyperactivity and impulsivity in Focus and finally mindfulness in other words mindful meditation in 2012 there was an eight-week study where people were broken up into two groups again the ones that practiced mindful meditation and the ones that did not and after the eight weeks the groups that participated in the mindful meditation showed significant improvements executive functioning attention and behavior regulation really cool things wouldn't you agree all these things could improve the quality of your life or the quality of your child's life and finally sleep now people with ADD ADHD are somewhat prone to having sleep disturbances but I don't want to label anybody out there it does not have to be that way and at the same time Disturbed sleep tends to aggravate the symptoms of ADD ADHD not enough sleep or inadequate sleep increases the symptoms that we are trying to decrease so lack of sleep or poor sleep increases hyperactivity impulsiveness and lack of attention now improving one's sleep takes more than one short video but important very important if you're on the Spectrum or have ADD ADHD to treat your sleep as if it will make or break you because they can alright my friends those are some scientifically proven natural things that you can do to reduce the symptoms that you have from your EDD ADHD it's all science back I've left links in the video description if you want to read more about that and it's good healthy living anyway right so you will never be unhealthier for doing these simple things and and doing them daily making them habits all right my friends I'll see you next week thanks for being here before you go please hit that subscribe button we'll see you soon ,FALSE
"Mindful meditation can improve executive functioning, attention, and behavior regulation in individuals with ADHD.",hi welcome today's a quick video we're going to talk about are there any natural remedies that help alleviate the symptoms of ADHD add this is not a video that is going to sell you some sort of miracle cure or snake oil because that is not what I do I'm Dr Christine I'm a I'm a retired chiropractor and my specialty is Health wellness and mindset and particularly finding ways for people to have more success on the Spectrum and with ADD ADHD anything that I recommend to you is going to have science behind it and I'm not selling it I'm just giving you information now please before I go any further subscribe to the channel and hit the Bell so you'll get notified when new videos Drop and when I go live when you subscribe to a YouTube channel you're supporting my small business which consists of sharing information with you to have more success on the Spectrum I have ADD and I am on the autism spectrum and I like to find information that will help me and help you to live a happier healthier life all right so are there any natural remedies that will help lessen the symptoms of ADD there are a few that have scientific research behind them to back them up also I don't want anything in this video to be mistaken as medical advice I'm not a medical doctor and I'm not making any sort of prescriptions to you I am sharing study information with you in late terms so that you can understand it you can research it yourself you can talk to your own health care practitioner about it so the number one top performing natural remedy to help alleviate the symptoms of ADD is exercise researchers in 2013 studied a group of adolescents some were prescribed an exercise regiment others others did not they were on what they call the wait list for the exercise program and at the end of the study the group that participated in the exercise program showed a significant reduction in their ADHD symptoms for example less impulsivity less hyperactivity better focus and improve performance in school the second omega-3 fatty acids omega-3 fatty acids such as fish or krill oil and flaxseed oil has been studied by researchers because because they know the positive impact that these fatty acids have on on the brain and nervous system omega-3 fatty acids are essential nutrients that play a great role in the building developing and repair of the nervous system they have strong anti-inflammatory properties and tend to protect the cells of the nervous system in studies where they looked at the role of omega-3 fatty acids with ADHD they showed Improvement they found less hyperactivity and impulsivity in Focus and finally mindfulness in other words mindful meditation in 2012 there was an eight-week study where people were broken up into two groups again the ones that practiced mindful meditation and the ones that did not and after the eight weeks the groups that participated in the mindful meditation showed significant improvements executive functioning attention and behavior regulation really cool things wouldn't you agree all these things could improve the quality of your life or the quality of your child's life and finally sleep now people with ADD ADHD are somewhat prone to having sleep disturbances but I don't want to label anybody out there it does not have to be that way and at the same time Disturbed sleep tends to aggravate the symptoms of ADD ADHD not enough sleep or inadequate sleep increases the symptoms that we are trying to decrease so lack of sleep or poor sleep increases hyperactivity impulsiveness and lack of attention now improving one's sleep takes more than one short video but important very important if you're on the Spectrum or have ADD ADHD to treat your sleep as if it will make or break you because they can alright my friends those are some scientifically proven natural things that you can do to reduce the symptoms that you have from your EDD ADHD it's all science back I've left links in the video description if you want to read more about that and it's good healthy living anyway right so you will never be unhealthier for doing these simple things and and doing them daily making them habits all right my friends I'll see you next week thanks for being here before you go please hit that subscribe button we'll see you soon ,FALSE
"Improving sleep can reduce ADHD symptoms such as hyperactivity, impulsiveness, and lack of attention.",hi welcome today's a quick video we're going to talk about are there any natural remedies that help alleviate the symptoms of ADHD add this is not a video that is going to sell you some sort of miracle cure or snake oil because that is not what I do I'm Dr Christine I'm a I'm a retired chiropractor and my specialty is Health wellness and mindset and particularly finding ways for people to have more success on the Spectrum and with ADD ADHD anything that I recommend to you is going to have science behind it and I'm not selling it I'm just giving you information now please before I go any further subscribe to the channel and hit the Bell so you'll get notified when new videos Drop and when I go live when you subscribe to a YouTube channel you're supporting my small business which consists of sharing information with you to have more success on the Spectrum I have ADD and I am on the autism spectrum and I like to find information that will help me and help you to live a happier healthier life all right so are there any natural remedies that will help lessen the symptoms of ADD there are a few that have scientific research behind them to back them up also I don't want anything in this video to be mistaken as medical advice I'm not a medical doctor and I'm not making any sort of prescriptions to you I am sharing study information with you in late terms so that you can understand it you can research it yourself you can talk to your own health care practitioner about it so the number one top performing natural remedy to help alleviate the symptoms of ADD is exercise researchers in 2013 studied a group of adolescents some were prescribed an exercise regiment others others did not they were on what they call the wait list for the exercise program and at the end of the study the group that participated in the exercise program showed a significant reduction in their ADHD symptoms for example less impulsivity less hyperactivity better focus and improve performance in school the second omega-3 fatty acids omega-3 fatty acids such as fish or krill oil and flaxseed oil has been studied by researchers because because they know the positive impact that these fatty acids have on on the brain and nervous system omega-3 fatty acids are essential nutrients that play a great role in the building developing and repair of the nervous system they have strong anti-inflammatory properties and tend to protect the cells of the nervous system in studies where they looked at the role of omega-3 fatty acids with ADHD they showed Improvement they found less hyperactivity and impulsivity in Focus and finally mindfulness in other words mindful meditation in 2012 there was an eight-week study where people were broken up into two groups again the ones that practiced mindful meditation and the ones that did not and after the eight weeks the groups that participated in the mindful meditation showed significant improvements executive functioning attention and behavior regulation really cool things wouldn't you agree all these things could improve the quality of your life or the quality of your child's life and finally sleep now people with ADD ADHD are somewhat prone to having sleep disturbances but I don't want to label anybody out there it does not have to be that way and at the same time Disturbed sleep tends to aggravate the symptoms of ADD ADHD not enough sleep or inadequate sleep increases the symptoms that we are trying to decrease so lack of sleep or poor sleep increases hyperactivity impulsiveness and lack of attention now improving one's sleep takes more than one short video but important very important if you're on the Spectrum or have ADD ADHD to treat your sleep as if it will make or break you because they can alright my friends those are some scientifically proven natural things that you can do to reduce the symptoms that you have from your EDD ADHD it's all science back I've left links in the video description if you want to read more about that and it's good healthy living anyway right so you will never be unhealthier for doing these simple things and and doing them daily making them habits all right my friends I'll see you next week thanks for being here before you go please hit that subscribe button we'll see you soon ,FALSE
Neurofeedback brain training has been proven by exhaustive science to take that brain pattern with too much slow processing speed and teach it to make less of that slower processing speed and to make more of perfect processing speed that's a little bit faster so that your brain can focus can feel calm and relaxed can be maximally productive in the minimal amounts of time while feeling great,how can the ADHD brain pattern be healed permanently neurofeedback brain training has been proven by exhaustive science two take that brain pattern with too much slow processing speed and teach it to make less of that slower processing speed and to make more of perfect processing speed that's a little bit faster so that your brain can focus can feel calm and relaxed can be maximally productive in the minimal amounts of time while feeling great neurofeedback's able to take that brain pattern and heal it with little regression little chance of moving backwards the caveat is you have to do it right and you have to have a provider who knows what he or she is doing ,FALSE
Neurofeedback's able to take that brain pattern and heal it with little regression little chance of moving backwards,how can the ADHD brain pattern be healed permanently neurofeedback brain training has been proven by exhaustive science two take that brain pattern with too much slow processing speed and teach it to make less of that slower processing speed and to make more of perfect processing speed that's a little bit faster so that your brain can focus can feel calm and relaxed can be maximally productive in the minimal amounts of time while feeling great neurofeedback's able to take that brain pattern and heal it with little regression little chance of moving backwards the caveat is you have to do it right and you have to have a provider who knows what he or she is doing ,FALSE
"Lithiumine can help make you feel calmer, improve attention span and focus, support restful sleep, protect the heart and brain, reduce blood pressure, and reduce symptoms of schizophrenia.","Hello, hello, hello, everyone.  Happy Friday. Um I am coming  off the back of the live  masterclass that we had earlier  in the week and it was epic. It  was like literally so amazing.  All of the attendees were so  engaged and the energy on on  the masterclass was was amazing  and so I thank you for all of  you who attended live. Uh I had  a complete tech technology blip  up and I didn't end up  recording it and I'm so  disappointed because it was  amazing. And so guys just so  you know if you weren't able to  attend live I am going to be  holding an encore. I'm just  trying to work out when I can  fit it on my calendar. And so  don't worry if you weren't able  to join us live for that one.  Ah definitely we're going to  you know keep an eye out and  make sure you come live to the  next one. Now not here to talk  about that today but I'm  wondering if you guys have ever  wondered about the effective of  lithiumine or gaba for ADHD. So  if you have drop me a yes in  the comments below. Um because  that's what I'm going to be  talking about today. Now  earlier this week someone asked  me specifically about these and  I know it's something that I've  been asked many times before.  So I really wanted to hop on  here and answer it publicly so  that anyone else who is  wondering can know as well. Now  before we jump in can you share  with me guys like a little bit  about you. I love finding out  where you're located. How many  children you have? Um maybe  your first name. Um obviously  I'll see your first name when  you when you drop that below.  But I'm I'm done okay. I live  in ah I was going to say sunny  Seattle. It is definitely not  sunny today. Um I live in  Seattle Washington. I'm a board  certified holistic health and  nutrition practitioner but also  I'm a mum of a son with ADHD so  I definitely know how hard it  can be to sift through all the  potential supplements and other  treatments options that are out  there. So have you guys ever  felt overwhelmed by the vast  array of ADHD treatment  options? Yep. Definitely I have  for sure back in the day. Um  and if you can relate  definitely give me a little  hands up in the comments below.  Um I felt like that years ago  when I first started my journey  with my son. Now like I said  I'm an ADHD health practitioner  and I specialise working with  families all across USA with  ADHD learn how to naturally  reduce ADHD symptoms. And my  goal is to make it easier on  you guys than it was on me.  Seriously. That's all I want to  do. Um I don't want anyone else  to feel as overwhelmed as I did  years ago. And that's why I'm  hopping on today to answer this  question about lithiumine and  gaba. So let's dive in. Now for  any of you who aren't familiar  with lithiumine it's an amino  acid that is found in green,  black and white tees. Uh plus  can be taken in supplement form  and it has relaxing properties  without making you feel drowsy.  Now it can help make you feel  calmer. It can improve  attention span and focus and it  can support restful sleep. It  can also help protect the heart  and brain. Plus help reduce  blood pressure and reduce  symptoms of schizophrenia. Now  the best way to obtain  lithiumine is to drink several  cups of quality green tea and  other teas every day. Now I  will say that it's really  important that you have  quality. Hi Michaela Montreal  Canada. Hi Heather. Thanks for  tuning in live. Um so when you  are buying green tea make sure  that you do have quality  organic green tea. Now lit  theanine is safe when taken in  supplement form but will reduce  effects of blood pressure  medications and stimulants. So  always be sure to talk with  your doctor before starting any  supplementation. Now GABA is  also a calming neurotransmitter  in the central nervous system  and it plays a role in the  body's ability to handle  stress. And it also affects  focus and concentration. Now  these two supplements by  themselves can be very helpful  for some people because I  especially love it when they're  combined because they they  provide that calming effect  without causing a person to  feel drowsy. And we know a lot  of our kiddos need that calming  effect of the time. Um so my  absolute favourite formation is  called Calming Thrive. And I'm  going to pop a link to that in  the comments. So be on the  lookout for that when the  live's over. Something I use  sometimes I use this particular  supplement as part of my  protocols. Uh especially when I  see when GABA's low or we have  a lot of you know sort of  overactive symptoms and we  really need to calm them down.  Um and I love it for a few  reasons. One it contains both  GABA and lithium Two it comes  in an easy to use liquid which  is perfect for our kiddos who  can't swallow pills. And three  is I also love it because since  it's taken by mouth and held in  the mouth for 30 seconds before  swallowing it has rapid  absorption into the body  providing that calm, that focus  and that concentration really  ",FALSE
GABA plays a role in the body's ability to handle stress and affects focus and concentration.,"Hello, hello, hello, everyone.  Happy Friday. Um I am coming  off the back of the live  masterclass that we had earlier  in the week and it was epic. It  was like literally so amazing.  All of the attendees were so  engaged and the energy on on  the masterclass was was amazing  and so I thank you for all of  you who attended live. Uh I had  a complete tech technology blip  up and I didn't end up  recording it and I'm so  disappointed because it was  amazing. And so guys just so  you know if you weren't able to  attend live I am going to be  holding an encore. I'm just  trying to work out when I can  fit it on my calendar. And so  don't worry if you weren't able  to join us live for that one.  Ah definitely we're going to  you know keep an eye out and  make sure you come live to the  next one. Now not here to talk  about that today but I'm  wondering if you guys have ever  wondered about the effective of  lithiumine or gaba for ADHD. So  if you have drop me a yes in  the comments below. Um because  that's what I'm going to be  talking about today. Now  earlier this week someone asked  me specifically about these and  I know it's something that I've  been asked many times before.  So I really wanted to hop on  here and answer it publicly so  that anyone else who is  wondering can know as well. Now  before we jump in can you share  with me guys like a little bit  about you. I love finding out  where you're located. How many  children you have? Um maybe  your first name. Um obviously  I'll see your first name when  you when you drop that below.  But I'm I'm done okay. I live  in ah I was going to say sunny  Seattle. It is definitely not  sunny today. Um I live in  Seattle Washington. I'm a board  certified holistic health and  nutrition practitioner but also  I'm a mum of a son with ADHD so  I definitely know how hard it  can be to sift through all the  potential supplements and other  treatments options that are out  there. So have you guys ever  felt overwhelmed by the vast  array of ADHD treatment  options? Yep. Definitely I have  for sure back in the day. Um  and if you can relate  definitely give me a little  hands up in the comments below.  Um I felt like that years ago  when I first started my journey  with my son. Now like I said  I'm an ADHD health practitioner  and I specialise working with  families all across USA with  ADHD learn how to naturally  reduce ADHD symptoms. And my  goal is to make it easier on  you guys than it was on me.  Seriously. That's all I want to  do. Um I don't want anyone else  to feel as overwhelmed as I did  years ago. And that's why I'm  hopping on today to answer this  question about lithiumine and  gaba. So let's dive in. Now for  any of you who aren't familiar  with lithiumine it's an amino  acid that is found in green,  black and white tees. Uh plus  can be taken in supplement form  and it has relaxing properties  without making you feel drowsy.  Now it can help make you feel  calmer. It can improve  attention span and focus and it  can support restful sleep. It  can also help protect the heart  and brain. Plus help reduce  blood pressure and reduce  symptoms of schizophrenia. Now  the best way to obtain  lithiumine is to drink several  cups of quality green tea and  other teas every day. Now I  will say that it's really  important that you have  quality. Hi Michaela Montreal  Canada. Hi Heather. Thanks for  tuning in live. Um so when you  are buying green tea make sure  that you do have quality  organic green tea. Now lit  theanine is safe when taken in  supplement form but will reduce  effects of blood pressure  medications and stimulants. So  always be sure to talk with  your doctor before starting any  supplementation. Now GABA is  also a calming neurotransmitter  in the central nervous system  and it plays a role in the  body's ability to handle  stress. And it also affects  focus and concentration. Now  these two supplements by  themselves can be very helpful  for some people because I  especially love it when they're  combined because they they  provide that calming effect  without causing a person to  feel drowsy. And we know a lot  of our kiddos need that calming  effect of the time. Um so my  absolute favourite formation is  called Calming Thrive. And I'm  going to pop a link to that in  the comments. So be on the  lookout for that when the  live's over. Something I use  sometimes I use this particular  supplement as part of my  protocols. Uh especially when I  see when GABA's low or we have  a lot of you know sort of  overactive symptoms and we  really need to calm them down.  Um and I love it for a few  reasons. One it contains both  GABA and lithium Two it comes  in an easy to use liquid which  is perfect for our kiddos who  can't swallow pills. And three  is I also love it because since  it's taken by mouth and held in  the mouth for 30 seconds before  swallowing it has rapid  absorption into the body  providing that calm, that focus  and that concentration really  ",FALSE
Lithiumine and GABA can be combined to provide a calming effect without causing drowsiness.,"Hello, hello, hello, everyone.  Happy Friday. Um I am coming  off the back of the live  masterclass that we had earlier  in the week and it was epic. It  was like literally so amazing.  All of the attendees were so  engaged and the energy on on  the masterclass was was amazing  and so I thank you for all of  you who attended live. Uh I had  a complete tech technology blip  up and I didn't end up  recording it and I'm so  disappointed because it was  amazing. And so guys just so  you know if you weren't able to  attend live I am going to be  holding an encore. I'm just  trying to work out when I can  fit it on my calendar. And so  don't worry if you weren't able  to join us live for that one.  Ah definitely we're going to  you know keep an eye out and  make sure you come live to the  next one. Now not here to talk  about that today but I'm  wondering if you guys have ever  wondered about the effective of  lithiumine or gaba for ADHD. So  if you have drop me a yes in  the comments below. Um because  that's what I'm going to be  talking about today. Now  earlier this week someone asked  me specifically about these and  I know it's something that I've  been asked many times before.  So I really wanted to hop on  here and answer it publicly so  that anyone else who is  wondering can know as well. Now  before we jump in can you share  with me guys like a little bit  about you. I love finding out  where you're located. How many  children you have? Um maybe  your first name. Um obviously  I'll see your first name when  you when you drop that below.  But I'm I'm done okay. I live  in ah I was going to say sunny  Seattle. It is definitely not  sunny today. Um I live in  Seattle Washington. I'm a board  certified holistic health and  nutrition practitioner but also  I'm a mum of a son with ADHD so  I definitely know how hard it  can be to sift through all the  potential supplements and other  treatments options that are out  there. So have you guys ever  felt overwhelmed by the vast  array of ADHD treatment  options? Yep. Definitely I have  for sure back in the day. Um  and if you can relate  definitely give me a little  hands up in the comments below.  Um I felt like that years ago  when I first started my journey  with my son. Now like I said  I'm an ADHD health practitioner  and I specialise working with  families all across USA with  ADHD learn how to naturally  reduce ADHD symptoms. And my  goal is to make it easier on  you guys than it was on me.  Seriously. That's all I want to  do. Um I don't want anyone else  to feel as overwhelmed as I did  years ago. And that's why I'm  hopping on today to answer this  question about lithiumine and  gaba. So let's dive in. Now for  any of you who aren't familiar  with lithiumine it's an amino  acid that is found in green,  black and white tees. Uh plus  can be taken in supplement form  and it has relaxing properties  without making you feel drowsy.  Now it can help make you feel  calmer. It can improve  attention span and focus and it  can support restful sleep. It  can also help protect the heart  and brain. Plus help reduce  blood pressure and reduce  symptoms of schizophrenia. Now  the best way to obtain  lithiumine is to drink several  cups of quality green tea and  other teas every day. Now I  will say that it's really  important that you have  quality. Hi Michaela Montreal  Canada. Hi Heather. Thanks for  tuning in live. Um so when you  are buying green tea make sure  that you do have quality  organic green tea. Now lit  theanine is safe when taken in  supplement form but will reduce  effects of blood pressure  medications and stimulants. So  always be sure to talk with  your doctor before starting any  supplementation. Now GABA is  also a calming neurotransmitter  in the central nervous system  and it plays a role in the  body's ability to handle  stress. And it also affects  focus and concentration. Now  these two supplements by  themselves can be very helpful  for some people because I  especially love it when they're  combined because they they  provide that calming effect  without causing a person to  feel drowsy. And we know a lot  of our kiddos need that calming  effect of the time. Um so my  absolute favourite formation is  called Calming Thrive. And I'm  going to pop a link to that in  the comments. So be on the  lookout for that when the  live's over. Something I use  sometimes I use this particular  supplement as part of my  protocols. Uh especially when I  see when GABA's low or we have  a lot of you know sort of  overactive symptoms and we  really need to calm them down.  Um and I love it for a few  reasons. One it contains both  GABA and lithium Two it comes  in an easy to use liquid which  is perfect for our kiddos who  can't swallow pills. And three  is I also love it because since  it's taken by mouth and held in  the mouth for 30 seconds before  swallowing it has rapid  absorption into the body  providing that calm, that focus  and that concentration really  ",FALSE
The supplement Calming Thrive contains both GABA and lithiumine and comes in an easy-to-use liquid form.,"Hello, hello, hello, everyone.  Happy Friday. Um I am coming  off the back of the live  masterclass that we had earlier  in the week and it was epic. It  was like literally so amazing.  All of the attendees were so  engaged and the energy on on  the masterclass was was amazing  and so I thank you for all of  you who attended live. Uh I had  a complete tech technology blip  up and I didn't end up  recording it and I'm so  disappointed because it was  amazing. And so guys just so  you know if you weren't able to  attend live I am going to be  holding an encore. I'm just  trying to work out when I can  fit it on my calendar. And so  don't worry if you weren't able  to join us live for that one.  Ah definitely we're going to  you know keep an eye out and  make sure you come live to the  next one. Now not here to talk  about that today but I'm  wondering if you guys have ever  wondered about the effective of  lithiumine or gaba for ADHD. So  if you have drop me a yes in  the comments below. Um because  that's what I'm going to be  talking about today. Now  earlier this week someone asked  me specifically about these and  I know it's something that I've  been asked many times before.  So I really wanted to hop on  here and answer it publicly so  that anyone else who is  wondering can know as well. Now  before we jump in can you share  with me guys like a little bit  about you. I love finding out  where you're located. How many  children you have? Um maybe  your first name. Um obviously  I'll see your first name when  you when you drop that below.  But I'm I'm done okay. I live  in ah I was going to say sunny  Seattle. It is definitely not  sunny today. Um I live in  Seattle Washington. I'm a board  certified holistic health and  nutrition practitioner but also  I'm a mum of a son with ADHD so  I definitely know how hard it  can be to sift through all the  potential supplements and other  treatments options that are out  there. So have you guys ever  felt overwhelmed by the vast  array of ADHD treatment  options? Yep. Definitely I have  for sure back in the day. Um  and if you can relate  definitely give me a little  hands up in the comments below.  Um I felt like that years ago  when I first started my journey  with my son. Now like I said  I'm an ADHD health practitioner  and I specialise working with  families all across USA with  ADHD learn how to naturally  reduce ADHD symptoms. And my  goal is to make it easier on  you guys than it was on me.  Seriously. That's all I want to  do. Um I don't want anyone else  to feel as overwhelmed as I did  years ago. And that's why I'm  hopping on today to answer this  question about lithiumine and  gaba. So let's dive in. Now for  any of you who aren't familiar  with lithiumine it's an amino  acid that is found in green,  black and white tees. Uh plus  can be taken in supplement form  and it has relaxing properties  without making you feel drowsy.  Now it can help make you feel  calmer. It can improve  attention span and focus and it  can support restful sleep. It  can also help protect the heart  and brain. Plus help reduce  blood pressure and reduce  symptoms of schizophrenia. Now  the best way to obtain  lithiumine is to drink several  cups of quality green tea and  other teas every day. Now I  will say that it's really  important that you have  quality. Hi Michaela Montreal  Canada. Hi Heather. Thanks for  tuning in live. Um so when you  are buying green tea make sure  that you do have quality  organic green tea. Now lit  theanine is safe when taken in  supplement form but will reduce  effects of blood pressure  medications and stimulants. So  always be sure to talk with  your doctor before starting any  supplementation. Now GABA is  also a calming neurotransmitter  in the central nervous system  and it plays a role in the  body's ability to handle  stress. And it also affects  focus and concentration. Now  these two supplements by  themselves can be very helpful  for some people because I  especially love it when they're  combined because they they  provide that calming effect  without causing a person to  feel drowsy. And we know a lot  of our kiddos need that calming  effect of the time. Um so my  absolute favourite formation is  called Calming Thrive. And I'm  going to pop a link to that in  the comments. So be on the  lookout for that when the  live's over. Something I use  sometimes I use this particular  supplement as part of my  protocols. Uh especially when I  see when GABA's low or we have  a lot of you know sort of  overactive symptoms and we  really need to calm them down.  Um and I love it for a few  reasons. One it contains both  GABA and lithium Two it comes  in an easy to use liquid which  is perfect for our kiddos who  can't swallow pills. And three  is I also love it because since  it's taken by mouth and held in  the mouth for 30 seconds before  swallowing it has rapid  absorption into the body  providing that calm, that focus  and that concentration really  ",FALSE
